name,NComp,Phase,dev_NdValence,maxdiff_AtomicWeight,maxdiff_Electronegativity,MixingEntropy,mean_NsValence,mean_CovalentRadius,frac_pValence,maxdiff_NUnfilled,mean_NValance,mean_MeltingT,mean_DeltaHf,min_NpUnfilled
Au0.05Ta1.0,2,BCC,1.490711985,16.018689,1.04,1.591666097,1.952380952,168.3809524,0,6,19.28571429,3197.015714,-5.804988662,0
Au0.05Ti1.0,2,BCC,1.70367084,149.099569,1,1.591666097,1.952380952,158.8571429,0,7,5,1912.25381,-8.526077098,0
Au0.09V1.0,2,BCC,1.926605505,146.025069,0.91,2.369480799,1.917431193,151.5963303,0,6,6.651376147,2113.174037,-5.757091154,0
Au0.11Nb1.0,2,BCC,1.792770157,104.060189,0.94,2.686244842,1,161.2252252,0,6,6.981981982,2610.005676,-11.42764386,0
Au0.11Zr1.0,2,BCC,2.390360209,105.742569,1.21,2.686244842,1.900900901,171.1351351,0,7,6.081081081,2049.645315,-26.42642643,0
Ba0.33Ca1.0,2,BCC,0,97.249,0.11,4.658007011,2,185.6766917,0,0,2,1086.466165,0.746226468,0
Ba0.33Eu1.0,2,BCC,0,14.637,0.295,4.658007011,2,202.2180451,0,7,7.263157895,1071.428571,0,0
Ba0.33Sr1.0,2,BCC,0,49.707,0.06,4.658007011,2,199.962406,0,0,2,1037.593985,0,0
Ba0.33Yb1.0,2,BCC,0,35.727,0.37,4.658007011,2,193.9473684,0,0,12.52631579,1069.172932,0.746226468,0
Ba1.0Ca1.0,2,BCC,0,97.249,0.11,5.762825659,2,195.5,0,0,2,1057.5,1,0
Ba1.0Eu1.0,2,BCC,0,14.637,0.295,5.762825659,2,206.5,0,7,5.5,1047.5,0,0
Ba1.0Sr1.0,2,BCC,0,49.707,0.06,5.762825659,2,205,0,0,2,1025,0,0
Ba1.0Yb1.0,2,BCC,0,35.727,0.37,5.762825659,2,201,0,0,9,1046,1,0
Ba1.0Ca0.33,2,BCC,0,97.249,0.11,4.658007011,2,205.3233083,0,0,2,1028.533835,0.746226468,0
Ba1.0Eu0.33,2,BCC,0,14.637,0.295,4.658007011,2,210.7819549,0,7,3.736842105,1023.571429,0,0
Ba1.0Sr0.33,2,BCC,0,49.707,0.06,4.658007011,2,210.037594,0,0,2,1012.406015,0,0
Ba1.0Yb0.33,2,BCC,0,35.727,0.37,4.658007011,2,208.0526316,0,0,5.473684211,1022.827068,0.746226468,0
Be0.02W1.0,2,BCC,0.554593554,174.827818,0.79,0.8023755,2,160.7058824,0,6,19.64705882,3653.137255,-0.230680507,0
Ca1.0Yb0.43,2,BCC,0,132.976,0.26,5.083642309,2,179.3076923,0,0,6.20979021,1108.083916,0,0
Ca1.0Yb0.18,2,BCC,0,132.976,0.26,3.55085835,2,177.6779661,0,0,4.13559322,1111.491525,0,0
Co0.11Cr1.0,2,BCC,0.597590052,6.937095,0.22,2.686244842,1.099099099,137.7117117,0,3,6.297297297,2139.171171,-1.428455483,0
Cr0.05Ta1.0,2,BCC,0.42591771,128.95178,0.16,1.591666097,1.952380952,168.5238095,0,1,18.38095238,3237.142857,-1.26984127,0
Cr0.11Nb1.0,2,BCC,0.298795026,40.91028,0.06,2.686244842,1,161.5225225,0,1,5.099099099,2693.513514,-2.499797094,0
Cr0.33Fe1.0,2,BCC,0.431922003,3.8489,0.17,4.658007011,1.751879699,133.7368421,0,2,7.503759398,1902.556391,-0.746226468,0
Cr0.33Mo1.0,2,BCC,0,43.9639,0.5,4.658007011,1,150.2781955,0,0,6,2718.345865,0,0
Cr0.33V1.0,2,BCC,0.863844007,1.0546,0.03,4.658007011,1.751879699,149.5263158,0,1,5.248120301,2182.255639,-1.492452937,0
Cr0.25W1.0,2,BCC,0.4,131.8439,0.7,4.160345749,1.8,157.4,0,0,17.2,3392,0.64,0
Cr1.0Fe1.0,2,BCC,0.5,3.8489,0.17,5.762825659,1.5,135.5,0,2,7,1995.5,-1,0
Cr1.0Mn1.0,2,BCC,0,2.941945,0.11,5.762825659,1.5,139,0,1,6.5,1849.5,2,0
Cr1.0Mo1.0,2,BCC,0,43.9639,0.5,5.762825659,1,146.5,0,0,6,2538,0,0
Cr1.0V1.0,2,BCC,1,1.0546,0.03,5.762825659,1.5,146,0,1,5.5,2181.5,-2,0
Cr1.0Fe0.33,2,BCC,0.431922003,3.8489,0.17,4.658007011,1.248120301,137.2631579,0,2,6.496240602,2088.443609,-0.746226468,0
Cr1.0Mn0.33,2,BCC,0,2.941945,0.11,4.658007011,1.248120301,139,0,1,6.248120301,2015.992481,1.492452937,0
Cr1.0Mo0.33,2,BCC,0,43.9639,0.5,4.658007011,1,142.7218045,0,0,6,2357.654135,0,0
Cr1.0V0.33,2,BCC,0.863844007,1.0546,0.03,4.658007011,1.248120301,142.4736842,0,1,5.751879699,2180.744361,-1.492452937,0
Cr1.0Ru0.18,2,BCC,0.719091642,49.0739,0.54,3.55085835,1,140.0677966,0,2,6.305084746,2245.135593,-6.205113473,0
Cr1.0Re0.25,2,BCC,0,134.2109,0.24,4.160345749,1.2,141.4,0,1,9,2435.8,-2.56,0
Cr1.0Ir0.05,2,BCC,0.42591771,140.2209,0.54,1.591666097,1.047619048,139.0952381,0,3,6.80952381,2206.619048,-3.265306122,0
Cr1.0Os0.11,2,BCC,0.298795026,138.2339,0.54,2.686244842,1.099099099,139.4954955,0,2,7.585585586,2291.585586,-3.928252577,0
Cr1.0W0.11,2,BCC,0.298795026,131.8439,0.7,2.686244842,1.099099099,141.2792793,0,0,7.387387387,2330.135135,0.357113871,0
Cr1.0Mo1.0Nb1.0Re1.0Ta1.0V1.0W1.0,7,BCC,0.832993128,135.2655,0.86,16.17829698,1.571428571,156.1428571,0,2,11.71428571,2921.857143,-9.959183673,0
Cs0.33Rb1.0,2,BCC,0,47.4376519,0.03,4.658007011,1,225.9548872,0,0,1,309.7629323,0,0
Cs1.0Rb1.0,2,BCC,0,47.4376519,0.03,5.762825659,1,232,0,0,1,307.025,0,0
Cs1.0Rb0.33,2,BCC,0,47.4376519,0.03,4.658007011,1,238.0451128,0,0,1,304.2870677,0,0
Fe0.11V1.0,2,BCC,0.896385078,4.9035,0.2,2.686244842,2,150.9189189,0,3,5.297297297,2146.135135,-2.499797094,0
Fe1.0Zn0.18,2,BCC,1.438183284,9.535,0.18,3.55085835,2,130.4745763,0,4,8.610169492,1640.408814,2.068371158,0
Fe1.0V0.25,2,BCC,1.2,4.9035,0.2,4.160345749,2,136.2,0,3,7.4,1885.4,-4.48,0
Fe1.0Si0.08,2,BCC,1.571348403,27.7595,0.07,2.195328759,2,130.4444444,0.019230769,0,7.703703704,1801.814815,-9.602194787,0
Fe1.0Ga0.11,2,BCC,1.195180105,13.878,0.02,2.686244842,2,131.009009,0.011664899,1,8.495495495,1661.54964,-0.714227741,0
Fe1.0Rh0.11,2,BCC,0.597590052,47.0605,0.45,2.686244842,1.900900901,132.990991,0,1,8.099099099,1853.216216,-1.785569353,0
Ga0.18Ti1.0,2,BCC,2.876366568,21.856,0.27,3.55085835,2,154.2033898,0.028391167,3,5.372881356,1691.121864,-11.89313416,0
Hf0.33Nb1.0,2,BCC,0.863844007,85.58362,0.3,4.658007011,1.248120301,166.7293233,0,1,8.22556391,2689.458647,2.984905874,0
Hf0.33Ta1.0,2,BCC,0.431922003,2.45788,0.2,4.658007011,2,171.2406015,0,1,18.7518797,3095.473684,2.238679405,0
Hf1.0Nb1.0,2,BCC,1,85.58362,0.3,5.762825659,1.5,169.5,0,1,11.5,2628,4,0
Hf1.0Ta1.0,2,BCC,0.5,2.45788,0.2,5.762825659,2,172.5,0,1,18.5,2898,3,0
Hf1.0Nb0.33,2,BCC,0.863844007,85.58362,0.3,4.658007011,1.751879699,172.2706767,0,1,14.77443609,2566.541353,2.984905874,0
Hf1.0Ta0.33,2,BCC,0.431922003,2.45788,0.2,4.658007011,2,173.7593985,0,1,18.2481203,2700.526316,2.238679405,0
Hf1.0Mo1.0Nb1.0Ti1.0Zr1.0,5,BCC,1.264911064,130.623,0.86,13.3808668,1.6,165.6,0,2,7.4,2444.2,-1.6,0
Hf1.0Nb1.0Ta1.0Ti1.0V1.0Zr1.0,6,BCC,0.745355992,133.08088,0.33,14.89668823,1.833333333,166.1666667,0,1,9.166666667,2466.333333,0.777777778,0
Hf1.0Nb1.0Ta1.0Ti1.0Zr1.0,5,BCC,0.8,133.08088,0.3,13.3808668,1.8,168.8,0,1,10,2523,2.72,0
Hf1.0Nb1.0Ta1.0Zr1.0,4,BCC,0.829156198,89.72388,0.3,11.52565132,1.75,171,0,1,11.5,2668.5,3.5,0
Hf1.0Nb1.0Ti1.0V1.0Zr1.0,5,BCC,0.8,130.623,0.33,13.3808668,1.8,165.4,0,1,7.2,2301.6,0.16,0
Hf1.0Nb1.0Ti1.0Zr1.0,4,BCC,0.866025404,130.623,0.3,11.52565132,1.75,168.5,0,1,7.75,2331.25,2.5,0
Ir0.02W1.0,2,BCC,0.415945165,8.377,0.16,0.8023755,2,161.5882353,0,3,20.05882353,3676.254902,-1.23029604,0
Ir0.05Mo1.0,2,BCC,0.42591771,96.257,0.04,1.591666097,1.047619048,153.3809524,0,3,6.80952381,2888.52381,-3.80952381,0
Ir0.05Nb1.0,2,BCC,0.638876565,99.31062,0.6,1.591666097,1.047619048,162.9047619,0,4,5.857142857,2749.47619,-9.614512472,0
Ir0.05Ta1.0,2,BCC,0.85183542,11.26912,0.7,1.591666097,2,168.6190476,0,4,19.19047619,3263.761905,-9.433106576,0
Ir0.05Ti1.0,2,BCC,1.064794275,144.35,0.66,1.591666097,2,159.0952381,0,5,4.904761905,1979,-10.34013605,0
Ir0.11V1.0,2,BCC,1.195180105,141.2755,0.57,2.686244842,2,151.8108108,0,4,6.783783784,2238.099099,-12.1418716,0
Li0.54Mg1.0,2,BCC,0,17.364,0.33,5.386205662,1.649350649,136.4415584,0,1,1.649350649,758.4367532,0,0
Li1.0Mg1.0,2,BCC,0,17.364,0.33,5.762825659,1.5,134.5,0,1,1.5,688.345,0,0
Li1.0Mg0.18,2,BCC,0,17.364,0.33,3.55085835,1.152542373,129.9830508,0,1,1.152542373,525.279661,0,0
Mn0.33V1.0,2,BCC,0.863844007,3.996545,0.08,4.658007011,2,149.5263158,0,2,5.496240602,2018.24812,-0.746226468,0
Mn1.0V1.0,2,BCC,1,3.996545,0.08,5.762825659,2,146,0,2,6,1851,-1,0
Mn1.0V0.67,2,BCC,0.980281769,3.996545,0.08,5.599431335,2,144.6167665,0,2,6.19760479,1785.39521,-0.960952347,0
Mn1.0V0.43,2,BCC,0.917124269,3.996545,0.08,5.083642309,2,143.2097902,0,2,6.398601399,1718.664336,-0.841116925,0
Mo0.33Nb1.0,2,BCC,0.431922003,3.05362,0.56,4.658007011,1,161.518797,0,1,5.248120301,2786.225564,-4.477358811,0
Mo0.33Ta1.0,2,BCC,0.863844007,84.98788,0.66,4.658007011,1.751879699,166.0300752,0,1,15.77443609,3192.240602,-3.731132342,0
Mo0.33Ti1.0,2,BCC,1.29576601,48.093,0.62,4.658007011,1.751879699,158.5112782,0,2,4.496240602,2177.954887,-2.984905874,0
Mo0.33V1.0,2,BCC,0.863844007,45.0185,0.53,4.658007011,1.751879699,153.2481203,0,1,5.248120301,2359.909774,0,0
Mo0.33W1.0,2,BCC,0.431922003,87.88,0.2,4.658007011,1.751879699,160.0150376,0,0,16.52631579,3496.75188,0,0
Mo1.0Nb1.0,2,BCC,0.5,3.05362,0.56,5.762825659,1,159,0,1,5.5,2823,-6,0
Mo1.0Ta1.0,2,BCC,1,84.98788,0.66,5.762825659,1.5,162,0,1,12.5,3093,-5,0
Mo1.0Ti1.0,2,BCC,1.5,48.093,0.62,5.762825659,1.5,157,0,2,5,2418.5,-4,0
Mo1.0V1.0,2,BCC,1,45.0185,0.53,5.762825659,1.5,153.5,0,1,5.5,2539.5,0,0
Mo1.0W1.0,2,BCC,0.5,87.88,0.2,5.762825659,1.5,158,0,0,13,3295.5,0,0
Mo1.0Nb0.33,2,BCC,0.431922003,3.05362,0.56,4.658007011,1,156.481203,0,1,5.751879699,2859.774436,-4.477358811,0
Mo1.0Re0.33,2,BCC,0,90.247,0.26,4.658007011,1.248120301,153.2556391,0,1,9.721804511,3035.691729,-5.223585279,0
Mo1.0Ta0.33,2,BCC,0.863844007,84.98788,0.66,4.658007011,1.248120301,157.9699248,0,1,9.22556391,2993.759398,-3.731132342,0
Mo1.0Ti0.33,2,BCC,1.29576601,48.093,0.62,4.658007011,1.248120301,155.4887218,0,2,5.503759398,2659.045113,-2.984905874,0
Mo1.0V0.33,2,BCC,0.863844007,45.0185,0.53,4.658007011,1.248120301,153.7518797,0,1,5.751879699,2719.090226,0,0
Mo1.0W0.33,2,BCC,0.431922003,87.88,0.2,4.658007011,1.248120301,155.9849624,0,0,9.473684211,3094.24812,0,0
Mo1.0Tc0.43,2,BCC,0,2.04,0.26,5.083642309,1.300699301,151.8951049,0,1,6.300699301,2755.874126,-9.252286175,0
Mo1.0Tc0.25,2,BCC,0,2.04,0.26,4.160345749,1.2,152.6,0,1,6.2,2802.8,-7.04,0
Mo1.0Os0.05,2,BCC,0.212958855,94.27,0.04,1.591666097,1.047619048,153.5238095,0,2,6.761904762,2915.52381,-2.53968254,0
Mo1.0Rh0.05,2,BCC,0.638876565,6.9455,0.12,1.591666097,1,153.4285714,0,3,6.142857143,2864.619048,-2.721088435,0
Mo1.0Pd0.02,2,BCC,0.693241942,10.46,0.04,0.8023755,0.980392157,153.7058824,0,6,6.078431373,2875.059804,-1.153402537,0
Mo1.0Re0.11,2,BCC,0,90.247,0.26,2.686244842,1.099099099,153.7027027,0,1,7.486486486,2951.792793,-2.499797094,0
Mo1.0Ru0.11,2,BCC,0.597590052,5.11,0.04,2.686244842,1,153.2072072,0,2,6.198198198,2867.36036,-4.999594189,0
Mo1.0Tc0.11,2,BCC,0,2.04,0.26,2.686244842,1.099099099,153.3063063,0,1,6.099099099,2849.81982,-3.928252577,0
Mo1.0Nb1.0Re1.0Ta1.0Ti1.0V1.0W1.0,7,BCC,1.030157507,138.34,0.86,16.17829698,1.714285714,159.1428571,0,3,11.42857143,2887.714286,-11.18367347,0
Mo1.0Nb1.0Re1.0Ta1.0V1.0W1.0,6,BCC,0.816496581,135.2655,0.86,14.89668823,1.666666667,159,0,2,12.66666667,3045.5,-11.44444444,0
Mo1.0Nb1.0Re1.0Ta1.0W1.0,5,BCC,0.748331477,93.30062,0.86,13.3808668,1.6,160.2,0,2,14.2,3218,-13.92,0
Mo1.0Nb1.0Ta1.0Ti1.0V1.0,5,BCC,1.019803903,133.08088,0.66,13.3808668,1.6,160.2,0,2,7.8,2612,-2.56,0
Mo1.0Nb1.0Ta1.0Ti1.0V1.0W1.0,6,BCC,0.957427108,135.973,0.86,14.89668823,1.666666667,160.5,0,2,9.833333333,2792.5,-4.222222222,0
Mo1.0Nb1.0Ta1.0V1.0,4,BCC,0.829156198,130.00638,0.66,11.52565132,1.5,160.25,0,1,8.75,2779.75,-3.25,0
Mo1.0Nb1.0Ta1.0V1.0W1.0,5,BCC,0.748331477,132.8985,0.86,13.3808668,1.6,160.6,0,1,11,2962.8,-4.64,0
Mo1.0Nb1.0Ta1.0W1.0,4,BCC,0.707106781,90.93362,0.86,11.52565132,1.5,162.5,0,1,12.5,3157.75,-6.5,0
Mo1.0Nb1.0Ti1.0V1.0Zr1.0,5,BCC,1.166190379,48.093,0.83,13.3808668,1.6,161.2,0,2,4.8,2379.6,-2.72,0
Mo1.0Nb0.95Ta0.72V0.97W0.97,5,BCC,0.749073833,132.8985,0.86,13.32669787,1.577006508,160.032538,0,1,10.55965293,2945.544469,-4.540087803,0
Mo0.94Nb0.83Ta0.89W1.0,4,BCC,0.706974803,90.93362,0.86,11.50613678,1.516393443,162.3442623,0,1,12.75956284,3177.005464,-6.489951925,0
Nb0.33Ta1.0,2,BCC,0.431922003,88.0415,0.1,4.658007011,1.751879699,168.5112782,0,0,15.52631579,3156.015038,0,0
Nb0.33Ti1.0,2,BCC,0.863844007,45.03938,0.06,4.658007011,1.751879699,160.9924812,0,1,4.248120301,2141.729323,1.492452937,0
Nb0.33W1.0,2,BCC,0,90.93362,0.76,4.658007011,1.751879699,162.4962406,0,1,16.27819549,3460.526316,-5.969811747,0
Nb0.33Zr1.0,2,BCC,0.863844007,1.68238,0.27,4.658007011,1.751879699,172.2706767,0,1,4.248120301,2282.330827,2.984905874,0
Nb1.0Ta1.0,2,BCC,0.5,88.0415,0.1,5.762825659,1.5,167,0,0,12,3020,0,0
Nb1.0Ti1.0,2,BCC,1,45.03938,0.06,5.762825659,1.5,162,0,1,4.5,2345.5,2,0
Nb1.0W1.0,2,BCC,0,90.93362,0.76,5.762825659,1.5,163,0,1,12.5,3222.5,-8,0
Nb1.0Zr1.0,2,BCC,1,1.68238,0.27,5.762825659,1.5,169.5,0,1,4.5,2439,4,0
Nb1.0Ru0.54,2,BCC,1.43151998,8.16362,0.6,5.386205662,1,157.6883117,0,3,6.051948052,2699.857143,-37.3418789,0
Nb1.0Re0.67,2,BCC,0.490140885,93.30062,0.3,5.599431335,1.401197605,158.7844311,0,2,11.41916168,3034.449102,-24.98476102,0
Nb1.0Re0.33,2,BCC,0.431922003,93.30062,0.3,4.658007011,1.248120301,160.7744361,0,2,8.969924812,2925.917293,-19.40188818,0
Nb1.0Ta0.33,2,BCC,0.431922003,88.0415,0.1,4.658007011,1.248120301,165.4887218,0,0,8.473684211,2883.984962,0,0
Nb1.0Ti0.33,2,BCC,0.863844007,45.03938,0.06,4.658007011,1.248120301,163.0075188,0,1,4.751879699,2549.270677,1.492452937,0
Nb1.0W0.33,2,BCC,0,90.93362,0.76,4.658007011,1.248120301,163.5037594,0,1,8.721804511,2984.473684,-5.969811747,0
Nb1.0Zr0.33,2,BCC,0.863844007,1.68238,0.27,4.658007011,1.248120301,166.7293233,0,1,4.751879699,2595.669173,2.984905874,0
Nb1.0Pd0.25,2,BCC,2.4,13.51362,0.6,4.160345749,0.8,159,0,7,6,2565.61,-33.92,0
Nb1.0Os0.11,2,BCC,0.597590052,97.32362,0.6,2.686244842,1.099099099,162.018018,0,3,6.684684685,2805.099099,-13.92744095,0
Nb1.0Pd0.11,2,BCC,1.792770157,13.51362,0.6,2.686244842,0.900900901,161.5225225,0,7,5.495495495,2658.635586,-18.92703514,0
Nb1.0Re0.11,2,BCC,0.298795026,93.30062,0.3,2.686244842,1.099099099,162.7117117,0,2,6.585585586,2820.261261,-9.284960636,0
Nb1.0Rh0.11,2,BCC,1.195180105,9.99912,0.68,2.686244842,1,161.8198198,0,4,5.396396396,2699.162162,-16.42723805,0
Nb1.0Ru0.11,2,BCC,0.896385078,8.16362,0.6,2.686244842,1,162.2162162,0,3,5.297297297,2735.828829,-14.6416687,0
Nb1.0Re1.0Ta1.0Ti1.0V1.0,5,BCC,1.019803903,138.34,0.4,13.3808668,1.8,159.6,0,3,10.8,2724.6,-14.24,0
Nb1.0Ta1.0Ti1.0V1.0,4,BCC,0.707106781,133.08088,0.13,11.52565132,1.75,161.75,0,1,8.25,2541,-0.25,0
Nb1.0Ta1.0Ti1.0V1.0W1.0,5,BCC,0.748331477,135.973,0.86,13.3808668,1.8,161.8,0,2,10.6,2771.8,-3.68,0
Nb1.0Ta1.0V1.0W1.0,4,BCC,0.5,132.8985,0.86,11.52565132,1.75,162.25,0,1,12.25,2979.5,-4.5,0
Nb1.0Ti1.0V1.0Zr1.0,4,BCC,0.829156198,45.03938,0.3,11.52565132,1.75,163,0,1,4.5,2250.5,-0.25,0
Os0.05W1.0,2,BCC,0.42591771,6.39,0.16,1.591666097,2,161.1428571,0,2,20.0952381,3676.47619,-1.814058957,0
Os0.18Ta1.0,2,BCC,1.078637463,9.28212,0.7,3.55085835,2,166.0338983,0,3,19.45762712,3292.440678,-19.649526,0
Os0.18Ti1.0,2,BCC,1.438183284,142.363,0.66,3.55085835,2,157.559322,0,4,6.745762712,2149.220339,-21.20080437,0
Pd0.11V1.0,2,BCC,2.091565183,55.4785,0.57,2.686244842,1.801801802,151.6126126,0,7,5.495495495,2147.824775,-12.49898547,0
Pd0.25V1.0,2,BCC,2.8,55.4785,0.57,4.160345749,1.6,150.2,0,7,6,2112.01,-22.4,0
Pt0.05V1.0,2,BCC,1.27775313,144.1425,0.65,1.591666097,1.952380952,152.1904762,0,5,5.904761905,2176.257143,-8.163265306,0
Pu0.33Zr1.0,2,BCC,0.863844007,152.776,0.05,4.658007011,2,177.9774436,0,0,4.992481203,1826.533835,0,0
Pu1.0Sc1.0,2,BCC,0.5,199.044088,0.08,5.762825659,2,178.5,0,1,5.5,1363.5,0,0
Pu1.0Zr1.0,2,BCC,1,152.776,0.05,5.762825659,2,181,0,0,6,1520.5,0,0
Pu1.0Sc0.33,2,BCC,0.431922003,199.044088,0.08,4.658007011,2,182.7819549,0,1,6.759398496,1136.556391,0,0
Pu1.0Zr0.33,2,BCC,0.863844007,152.776,0.05,4.658007011,2,184.0225564,0,0,7.007518797,1214.466165,0,0
Re0.11Ta1.0,2,BCC,0.597590052,5.25912,0.4,2.686244842,2,168.1171171,0,2,19.1981982,3306.747748,-8.570732895,0
Re0.11Ti1.0,2,BCC,0.896385078,138.34,0.36,2.686244842,2,159.1081081,0,3,5.684684685,2091.432432,-8.927846766,0
Re0.11V1.0,2,BCC,0.597590052,135.2655,0.27,2.686244842,2,152.8018018,0,2,6.585585586,2309.45045,-4.642480318,0
Re0.11W1.0,2,BCC,0.298795026,2.367,0.46,2.686244842,2,160.9099099,0,1,20.0990991,3671.612613,-1.428455483,0
Re0.33Ti1.0,2,BCC,1.29576601,138.34,0.36,4.658007011,2,157.7669173,0,3,8.218045113,2317.646617,-18.65566171,0
Re0.33V1.0,2,BCC,0.863844007,135.2655,0.27,4.658007011,2,152.5037594,0,2,8.969924812,2499.601504,-9.70094409,0
Re0.33W1.0,2,BCC,0.431922003,2.367,0.46,4.658007011,2,159.2706767,0,1,20.2481203,3636.443609,-2.984905874,0
Re0.25Ta1.0,2,BCC,0.8,5.25912,0.4,4.160345749,2,166.2,0,2,19.4,3323.8,-15.36,0
Re0.67Ta1.0,2,BCC,0.980281769,5.25912,0.4,5.599431335,2,162.3772455,0,2,19.80239521,3357.802395,-23.06285632,0
Re0.67Ti1.0,2,BCC,1.470422654,138.34,0.36,5.599431335,2,156.3892216,0,3,10.82035928,2550.017964,-24.02380867,0
Re1.0V1.0,2,BCC,1,135.2655,0.27,5.762825659,2,152,0,2,13,2821,-13,0
Rh0.18Ti1.0,2,BCC,2.157274926,55.0385,0.74,3.55085835,1.847457627,157.2542373,0,5,4.762711864,1986.152542,-26.88882505,0
Rh0.11Ta1.0,2,BCC,1.493975131,78.04238,0.78,2.686244842,1.900900901,167.2252252,0,4,18.00900901,3185.648649,-16.07012418,0
Rh0.11V1.0,2,BCC,1.493975131,51.964,0.65,2.686244842,1.900900901,151.9099099,0,4,5.396396396,2188.351351,-10.35630225,0
Ru0.11Ta1.0,2,BCC,1.195180105,79.87788,0.7,2.686244842,1.900900901,167.6216216,0,3,17.90990991,3222.315315,-13.92744095,0
Ru0.11Ti1.0,2,BCC,1.493975131,53.203,0.66,2.686244842,1.900900901,158.6126126,0,4,4.396396396,2007,-15.35589644,0
Ru0.11W1.0,2,BCC,0.896385078,82.77,0.16,2.686244842,1.900900901,160.4144144,0,2,18.81081081,3587.18018,-3.571138706,0
Ru0.25Ta1.0,2,BCC,1.6,79.87788,0.7,4.160345749,1.8,165.2,0,3,16.8,3153.4,-24.96,0
Ru0.25Ti1.0,2,BCC,2,53.203,0.66,4.160345749,1.8,157.2,0,4,4.8,2074.2,-27.52,0
Ru0.25W1.0,2,BCC,1.2,82.77,0.16,4.160345749,1.8,158.8,0,2,17.6,3477.4,-6.4,0
Sc0.33Th1.0,2,BCC,0.431922003,187.082148,0.06,4.658007011,2,197.0676692,0,1,3.751879699,1971.142857,0,0
Sc0.33Ti1.0,2,BCC,0.431922003,2.911088,0.18,4.658007011,2,162.481203,0,1,3.751879699,1909.488722,5.969811747,0
Sc0.25Zr1.0,2,BCC,0.4,46.268088,0.03,4.160345749,2,174,0,1,3.8,2065.2,2.56,0
Sc0.67Zr1.0,2,BCC,0.490140885,46.268088,0.03,5.599431335,2,172.994012,0,1,3.598802395,2002.023952,3.843809387,0
Sc1.0Ti1.0,2,BCC,0.5,2.911088,0.18,5.762825659,2,165,0,1,3.5,1877.5,8,0
Sc1.0Th0.33,2,BCC,0.431922003,187.082148,0.06,4.658007011,2,178.9323308,0,1,3.248120301,1865.857143,0,0
